"Date","HOG","F","MSFT","NFLX","FB","BT"
"6/19/2019","34.552902","9.732627","135.239655","363.519989","187.479996","4036.449951"
"6/20/2019","35.641647","9.732627","136.495468","365.209991","189.529999","4111.379883"
"6/21/2019","36.265205","9.684157","136.515411","369.209991","191.139999","4118.129883"
"6/24/2019","34.938911","9.645382","137.322723","371.040009","192.600006","4112.689941"
"6/25/2019","34.830036","9.538750","132.987152","360.299988","188.839996","4151.319824"
"6/26/2019","35.315025","9.606606","133.485489","362.200012","187.660004","4906.930176"
"6/27/2019","35.225945","9.887728","133.704758","370.019989","189.500000","4976.589844"
"6/28/2019","35.463493","9.916810","133.515411","367.320007","193.000000","4913.359863"
"7/1/2019","35.315025","9.839258","135.229691","374.600006","193.000000","5047.229980"
"7/2/2019","34.810242","9.810178","136.126709","375.429993","195.000000","5057.250000"
"7/3/2019","35.889091","9.887728","137.003784","381.720001","197.199997","5201.160156"
"7/5/2019","35.651546","9.887728","136.605103","380.549988","196.399994","5294.089844"
"7/8/2019","35.384308","9.887728","136.505447","376.160004","195.759995","5201.299805"
"7/9/2019","35.087379","9.829566","136.007111","379.929993","199.210007","5318.600098"
"7/10/2019","35.275433","9.800483","137.392502","381.000000","202.729996","5048.560059"
"7/11/2019","35.730728","9.878035","137.940659","379.500000","201.229996","5081.500000"
"7/12/2019","36.255310","10.168850","138.438995","373.250000","204.869995","5080.660156"
"7/15/2019","36.017761","10.100993","138.438995","366.600006","203.910004","5165.589844"
"7/16/2019","36.225613","10.188238","136.625046","365.989990","203.839996","5037.270020"
"7/17/2019","35.493183","10.013748","135.817734","362.440002","201.800003","5212.810059"
"7/18/2019","35.374413","9.945891","135.967239","325.209991","200.779999","5236.259766"
"7/19/2019","34.493515","9.887728","136.166565","315.100006","198.360001","5289.750000"
"7/22/2019","33.929344","9.858213","137.970551","310.619995","202.320007","5295.529785"
"7/23/2019","36.106842","10.005791","138.827698","307.299988","202.360001","5326.180176"
"7/24/2019","35.324921","10.163207","140.252960","317.940002","204.660004","5305.740234"
"7/25/2019","35.206150","9.405641","139.724731","326.459991","200.710007","5394.669922"
"7/26/2019","35.532776","9.415479","140.870895","335.779999","199.750000","5539.100098"
"7/29/2019","35.216049","9.444995","140.561935","332.700012","195.940002","5454.580078"
"7/30/2019","34.839935","9.395802","139.884201","325.929993","197.039993","5162.669922"
"7/31/2019","35.414001","9.376124","135.817734","322.989990","194.229996","5234.089844"
"8/1/2019","34.483620","9.159678","137.601791","319.500000","192.729996","5229.479980"
"8/2/2019","34.651878","9.130161","136.445633","318.829987","189.020004","5272.450195"
"8/5/2019","32.959370","9.080968","131.771210","307.630005","181.729996","5237.959961"
"8/6/2019","33.058350","9.326931","134.242981","310.100006","184.509995","5350.640137"
"8/7/2019","33.018757","9.376124","134.831024","304.290009","185.149994","5389.540039"
"8/8/2019","33.998627","9.405641","138.429031","315.899994","190.160004","5500.720215"
"8/9/2019","33.493847","9.297416","137.252960","308.929993","187.850006","5753.379883"
"8/12/2019","32.810905","9.139999","135.339325","310.829987","185.369995","5840.080078"
"8/13/2019","33.444359","9.110484","138.139999","312.279999","188.449997","5794.140137"
"8/14/2019","31.524202","8.854682","133.979996","299.109985","179.710007","5748.169922"
"8/15/2019","31.019421","8.716943","133.679993","295.760010","182.589996","5819.569824"
"8/16/2019","31.930008","8.815328","136.130005","302.799988","183.699997","5998.709961"
"8/19/2019","32.226940","8.884197","138.410004","309.380005","186.169998","6171.959961"
"8/20/2019","31.553896","8.815328","137.259995","298.989990","183.809998","6358.290039"
"8/21/2019","31.741953","8.894036","138.789993","297.809998","183.550003","7191.359863"
"8/22/2019","31.642975","8.894036","137.779999","296.929993","182.039993","6977.629883"
"8/23/2019","30.405762","8.628396","133.389999","291.440002","177.750000","7806.359863"
"8/26/2019","30.574022","8.677588","135.449997","294.980011","180.360001","7980.129883"
"8/27/2019","30.079136","8.618558","135.740005","291.029999","181.300003","8183.830078"
"8/28/2019","30.494841","8.854682","135.559998","291.769989","181.759995","7874.109863"
"8/29/2019","31.088703","8.972745","138.119995","296.779999","185.570007","7371.959961"
"8/30/2019","31.573690","9.021937","137.860001","293.750000","185.669998","7266.080078"
"9/3/2019","30.712591","8.953068","136.039993","289.290009","182.389999","8193.139648"
"9/4/2019","31.157988","9.051453","137.630005","291.519989","187.139999","7998.290039"
"9/5/2019","32.246738","9.189193","140.050003","293.250000","190.899994","7947.930176"
"9/6/2019","32.217041","9.189193","139.100006","290.170013","187.490005","7626.890137"
"9/9/2019","34.048119","9.385963","137.520004","294.339996","188.759995","7876.500000"
"9/10/2019","35.027992","9.267900","136.080002","287.989990","186.169998","7996.399902"
"9/11/2019","35.334820","9.267900","136.119995","288.269989","188.490005","8059.129883"
"9/12/2019","35.681240","9.258062","137.520004","288.859985","187.470001","8726.230469"
"9/13/2019","36.285000","9.297416","137.320007","294.149994","187.190002","8785.169922"
"9/16/2019","36.139999","9.149838","136.330002","294.290009","186.220001","8718.849609"
"9/17/2019","34.919998","9.130161","137.389999","298.600006","188.080002","8664.559570"
"9/18/2019","34.630001","9.100646","138.520004","291.559998","188.139999","8276.250000"
"9/19/2019","34.790001","8.953068","141.070007","286.600006","190.139999","8550.669922"
"9/20/2019","35.270000","9.021937","139.440002","270.750000","189.929993","8555.870117"
"9/23/2019","35.410000","9.012098","139.139999","265.920013","186.820007","8737.910156"
"9/24/2019","34.020000","8.962906","137.380005","254.589996","181.279999","8114.490234"
"9/25/2019","35.040001","9.051453","139.360001","264.750000","182.800003","7677.470215"
"9/26/2019","35.220001","8.992422","139.539993","263.309998","180.110001","7791.290039"
"9/27/2019","35.709999","8.933391","137.729996","263.079987","177.100006","7807.359863"
"9/30/2019","35.970001","9.012098","139.029999","267.619995","178.080002","8002.629883"
"10/1/2019","35.509998","8.756296","137.070007","269.579987","175.809998","7933.779785"
"10/2/2019","34.810001","8.470979","134.649994","268.029999","174.600006","7643.439941"
"10/3/2019","35.070000","8.569365","136.279999","268.149994","179.380005","8021.000000"
"10/4/2019","35.369999","8.598880","138.119995","272.790009","180.449997","7917.319824"
"10/7/2019","34.110001","8.539849","137.119995","274.459991","179.679993","8174.140137"
"10/8/2019","33.169998","8.402109","135.669998","270.720001","177.750000","8235.570313"
"10/9/2019","33.259998","8.421787","138.240005","267.529999","179.850006","8693.959961"
"10/10/2019","33.799999","8.480818","139.100006","280.480011","180.029999","8853.559570"
"10/11/2019","35.099998","8.638234","139.679993","282.929993","184.190002","8979.179688"
"10/14/2019","35.209999","8.677588","139.550003","285.529999","183.279999","9336.009766"
"10/15/2019","36.430000","8.923552","141.570007","284.250000","188.889999","9081.709961"
"10/16/2019","36.560001","8.923552","140.410004","286.279999","189.550003","9280.540039"
"10/17/2019","36.700001","8.962906","139.690002","293.350006","190.389999","9536.849609"
"10/18/2019","36.570000","9.139999","137.410004","275.299988","185.850006","10218.870117"
"10/21/2019","37.080002","9.030000","138.429993","278.049988","189.759995","10689.540039"
